epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.24,2.07663,2.46744,1.91322,0.39879,0.24573,0.23923,0.09943,2.17366,3.06718,2.19429,0.0671352,0.000331967,0.000331967
2,251.997,1.89195,1.88151,1.763,0.61478,0.50241,0.54095,0.26005,1.89305,1.80114,1.79208,0.0341258,0.000655891,0.000655891
3,366.4,1.83545,1.75734,1.70578,0.65633,0.53063,0.59809,0.29024,1.80389,1.64047,1.76134,0.001107,0.000970387,0.000970387
4,452.01,1.7987,1.65487,1.67922,0.70422,0.60371,0.68561,0.3466,1.74005,1.59303,1.66658,0.000957571,0.000957571,0.000957571
5,534.759,1.73786,1.54814,1.62144,0.72199,0.57711,0.66155,0.32841,1.82088,1.47243,1.72878,0.000943429,0.000943429,0.000943429
6,615.419,1.68041,1.45723,1.58022,0.76813,0.61823,0.71141,0.36581,1.70934,1.38234,1.61289,0.000929286,0.000929286,0.000929286
7,698.223,1.65483,1.38541,1.55826,0.75007,0.67236,0.73526,0.39598,1.67031,1.29752,1.59948,0.000915143,0.000915143,0.000915143
8,781.116,1.61966,1.31608,1.52283,0.75478,0.67521,0.73883,0.37539,1.73844,1.26255,1.62584,0.000901,0.000901,0.000901
9,864.165,1.58427,1.25756,1.50037,0.77925,0.69897,0.78427,0.42223,1.66885,1.15859,1.5833,0.000886857,0.000886857,0.000886857
10,946.013,1.56473,1.21726,1.49083,0.79448,0.70014,0.78741,0.42949,1.63913,1.14963,1.55584,0.000872714,0.000872714,0.000872714
11,1027.48,1.54074,1.17819,1.47009,0.79982,0.70293,0.78894,0.44042,1.6207,1.10443,1.51797,0.000858571,0.000858571,0.000858571
12,1151.39,1.51458,1.14368,1.45129,0.77876,0.73219,0.80623,0.4405,1.63,1.04037,1.55552,0.000844429,0.000844429,0.000844429
13,1276.34,1.50342,1.10374,1.42921,0.85709,0.75499,0.85107,0.47507,1.57745,0.95335,1.49813,0.000830286,0.000830286,0.000830286
14,1401.42,1.47986,1.07205,1.41122,0.8246,0.76709,0.8402,0.47184,1.59387,0.94874,1.50117,0.000816143,0.000816143,0.000816143
15,1525.96,1.44423,1.04512,1.39267,0.84134,0.75641,0.8388,0.47413,1.55893,0.96551,1.48473,0.000802,0.000802,0.000802
16,1651.42,1.4255,1.00699,1.37203,0.83018,0.78419,0.8513,0.4788,1.57726,0.9236,1.49758,0.000787857,0.000787857,0.000787857
17,1777.23,1.4193,0.99558,1.36697,0.86778,0.76994,0.86321,0.50453,1.5419,0.89962,1.47436,0.000773714,0.000773714,0.000773714
18,1902.06,1.39414,0.96839,1.35792,0.85397,0.7849,0.85971,0.48795,1.57661,0.89345,1.49814,0.000759571,0.000759571,0.000759571
19,2026.32,1.37444,0.94714,1.34405,0.86213,0.80342,0.87357,0.5048,1.52402,0.85773,1.46506,0.000745429,0.000745429,0.000745429
20,2150.39,1.36861,0.93295,1.34022,0.85818,0.80128,0.87263,0.51078,1.53823,0.85781,1.44699,0.000731286,0.000731286,0.000731286
21,2275.25,1.34474,0.91668,1.33194,0.84399,0.80128,0.86801,0.50487,1.54413,0.87486,1.46392,0.000717143,0.000717143,0.000717143
22,2400.14,1.32925,0.88699,1.31263,0.85944,0.78846,0.85554,0.4987,1.5316,0.88037,1.45915,0.000703,0.000703,0.000703
23,2524.07,1.32464,0.89143,1.30764,0.87052,0.80912,0.8761,0.51608,1.51598,0.84788,1.43559,0.000688857,0.000688857,0.000688857
24,2648.08,1.3125,0.86348,1.29934,0.87026,0.82173,0.88586,0.52942,1.49977,0.81813,1.42904,0.000674714,0.000674714,0.000674714
25,2774.05,1.30109,0.85368,1.28612,0.86834,0.80795,0.8769,0.51793,1.51904,0.8304,1.44843,0.000660571,0.000660571,0.000660571
26,2915.66,1.29331,0.84397,1.28625,0.90032,0.80412,0.88811,0.52644,1.50593,0.8098,1.42724,0.000646429,0.000646429,0.000646429
27,3064.93,1.26801,0.82729,1.26826,0.88495,0.79416,0.88278,0.51983,1.5259,0.81939,1.46286,0.000632286,0.000632286,0.000632286
28,3226.12,1.2549,0.8096,1.25747,0.8876,0.80994,0.88519,0.52674,1.49772,0.79775,1.42291,0.000618143,0.000618143,0.000618143
29,3351.68,1.24401,0.79973,1.25426,0.87513,0.82864,0.88653,0.5299,1.49969,0.79017,1.43087,0.000604,0.000604,0.000604
30,3477.07,1.2302,0.78574,1.24092,0.88677,0.81436,0.89077,0.53481,1.48028,0.77592,1.40705,0.000589857,0.000589857,0.000589857
31,3602.26,1.22606,0.78283,1.23835,0.89526,0.82189,0.89242,0.53839,1.47988,0.74319,1.41571,0.000575714,0.000575714,0.000575714
32,3749.09,1.21515,0.7676,1.23025,0.89406,0.82265,0.88893,0.54625,1.48752,0.77395,1.41728,0.000561571,0.000561571,0.000561571
33,3912.11,1.19377,0.75261,1.21835,0.89125,0.82621,0.89011,0.54387,1.47315,0.75244,1.41047,0.000547429,0.000547429,0.000547429
34,4039.96,1.20141,0.7579,1.22015,0.88522,0.8312,0.89364,0.54238,1.48574,0.75925,1.41083,0.000533286,0.000533286,0.000533286
35,4197.93,1.17902,0.73354,1.20252,0.88519,0.84018,0.89854,0.54384,1.48456,0.74755,1.42586,0.000519143,0.000519143,0.000519143
36,4330.45,1.17246,0.72825,1.19852,0.87891,0.84787,0.90025,0.55051,1.46393,0.73547,1.39124,0.000505,0.000505,0.000505
37,4455.07,1.16079,0.72078,1.19688,0.89727,0.83984,0.90624,0.56026,1.45871,0.72075,1.38635,0.000490857,0.000490857,0.000490857
38,4580.61,1.14714,0.70335,1.18382,0.8965,0.83618,0.9052,0.55834,1.458,0.736,1.39112,0.000476714,0.000476714,0.000476714
39,4727.58,1.13755,0.69064,1.17827,0.89058,0.83333,0.89931,0.54591,1.47398,0.73325,1.40293,0.000462571,0.000462571,0.000462571
40,4854.39,1.13312,0.68449,1.17277,0.88553,0.84687,0.8986,0.553,1.46409,0.72234,1.41231,0.000448429,0.000448429,0.000448429
41,4986.37,1.12771,0.68875,1.1728,0.89387,0.82764,0.8955,0.54925,1.45857,0.74268,1.38823,0.000434286,0.000434286,0.000434286
42,5111.42,1.11541,0.67849,1.16145,0.87696,0.85256,0.90504,0.55651,1.46846,0.71271,1.4019,0.000420143,0.000420143,0.000420143
43,5236.27,1.09736,0.66643,1.15425,0.88536,0.84829,0.90334,0.55568,1.4436,0.72672,1.39454,0.000406,0.000406,0.000406
44,5360.54,1.09398,0.66273,1.15128,0.89546,0.84259,0.90812,0.55812,1.4477,0.71039,1.39256,0.000391857,0.000391857,0.000391857
45,5484.95,1.07971,0.65552,1.14697,0.90109,0.85004,0.9098,0.56926,1.44319,0.71203,1.38819,0.000377714,0.000377714,0.000377714
46,5609.43,1.06981,0.64181,1.13785,0.88903,0.83761,0.91046,0.57296,1.44294,0.71516,1.3897,0.000363571,0.000363571,0.000363571
47,5735.49,1.06333,0.64055,1.13651,0.8957,0.83802,0.90163,0.55854,1.45291,0.73585,1.39401,0.000349429,0.000349429,0.000349429
48,5861.26,1.05199,0.62663,1.12983,0.90397,0.84479,0.90892,0.57024,1.4443,0.71756,1.38924,0.000335286,0.000335286,0.000335286
49,5986.45,1.03387,0.61978,1.12474,0.90144,0.84758,0.90896,0.5681,1.45267,0.70367,1.40065,0.000321143,0.000321143,0.000321143
50,6110.36,1.03826,0.61726,1.12164,0.89563,0.85185,0.90777,0.57095,1.43966,0.69892,1.40239,0.000307,0.000307,0.000307
51,6244.93,1.02979,0.61278,1.12305,0.89491,0.85684,0.91026,0.57035,1.44187,0.70697,1.39003,0.000292857,0.000292857,0.000292857
52,6399.53,1.01058,0.59906,1.10535,0.89362,0.85541,0.90907,0.56875,1.4487,0.70569,1.39379,0.000278714,0.000278714,0.000278714
53,6552.86,1.0052,0.59334,1.10539,0.8902,0.86037,0.9066,0.56884,1.4608,0.72194,1.41309,0.000264571,0.000264571,0.000264571
54,6706.29,0.99225,0.58113,1.09733,0.91361,0.83903,0.9103,0.56729,1.44809,0.70472,1.39264,0.000250429,0.000250429,0.000250429
55,6842.87,0.99189,0.58555,1.09727,0.90358,0.85436,0.9078,0.56861,1.45911,0.70611,1.41058,0.000236286,0.000236286,0.000236286
56,6966.05,0.98019,0.56875,1.08868,0.90072,0.84653,0.90836,0.57111,1.45691,0.71013,1.4018,0.000222143,0.000222143,0.000222143
57,7125.03,0.968,0.57168,1.08802,0.88503,0.86111,0.90958,0.57394,1.44916,0.71031,1.39845,0.000208,0.000208,0.000208
58,7280.84,0.96334,0.55903,1.08055,0.89876,0.85613,0.90985,0.56938,1.44859,0.70909,1.40349,0.000193857,0.000193857,0.000193857
59,7435.07,0.9563,0.56074,1.08035,0.89664,0.8527,0.90759,0.56924,1.45506,0.71456,1.40676,0.000179714,0.000179714,0.000179714
60,7591.64,0.94604,0.54586,1.07186,0.90973,0.84702,0.90612,0.56895,1.45348,0.70669,1.41016,0.000165571,0.000165571,0.000165571
61,7748.79,0.8851,0.44363,1.03383,0.90826,0.84046,0.90287,0.56454,1.46539,0.71269,1.4241,0.000151429,0.000151429,0.000151429
62,7906.38,0.85862,0.42431,1.02084,0.89567,0.84998,0.90447,0.56924,1.4608,0.71658,1.42928,0.000137286,0.000137286,0.000137286
63,8070.04,0.83982,0.40987,1.01087,0.9185,0.83478,0.90355,0.57076,1.44847,0.72955,1.41663,0.000123143,0.000123143,0.000123143
64,8232.08,0.82762,0.40724,1.00805,0.90241,0.84687,0.90352,0.5727,1.44712,0.71897,1.42363,0.000109,0.000109,0.000109
65,8392.74,0.81682,0.39993,1.00005,0.91118,0.84046,0.90225,0.57331,1.44621,0.71557,1.42659,9.48571e-05,9.48571e-05,9.48571e-05
66,8552.98,0.80411,0.39195,0.99207,0.89637,0.84758,0.9028,0.57507,1.44237,0.72221,1.42507,8.07143e-05,8.07143e-05,8.07143e-05
67,8714.96,0.79659,0.38962,0.9892,0.90415,0.84654,0.90478,0.57822,1.44142,0.7188,1.42207,6.65714e-05,6.65714e-05,6.65714e-05
68,8857.52,0.78465,0.38456,0.98774,0.91104,0.83883,0.90215,0.57696,1.44067,0.72007,1.42537,5.24286e-05,5.24286e-05,5.24286e-05
69,8981.62,0.77306,0.37645,0.97886,0.89606,0.8604,0.90464,0.57889,1.44307,0.72221,1.43035,3.82857e-05,3.82857e-05,3.82857e-05
70,9108.9,0.77237,0.37669,0.97827,0.90037,0.85605,0.90509,0.57957,1.44013,0.72316,1.42708,2.41429e-05,2.41429e-05,2.41429e-05
